user,lastSignedInAt,createdAt,lastSignedInAtDate,createdAtDate,lastSignedInAtDay
NlcfZQB0hEgo0GKmqmuPDzOiFB22,2022-07-09 07:38:54.703,2022-07-09 07:38:54.703,2022-07-09,2022-07-09,Saturday
HyeKbpgbrmXw4DRlc9eQFmFYRVD2,2022-07-30 18:29:29.307,2022-07-30 18:29:29.307,2022-07-30,2022-07-30,Saturday
XSStyOylQ4MbIFMjf3VhjFPTnHI3,2022-07-30 18:31:05.439,2022-07-30 18:31:05.439,2022-07-30,2022-07-30,Saturday
G22jUH1PfAa57yWPEQd8v0RhyY32,2022-07-30 23:37:12.137,2022-07-30 23:37:12.137,2022-07-30,2022-07-30,Saturday
UthzZa3BnsPJrEfmx6FFcELwEuY2,2022-08-04 05:56:22.464,2022-08-04 05:56:22.464,2022-08-04,2022-08-04,Thursday
XHIwRefLCRRak8GvBycpM9zHkC52,2022-08-04 13:53:58.556,2022-08-04 13:53:58.556,2022-08-04,2022-08-04,Thursday
tUhvQ5J7P0YuDQLRgLu9qWa2aib2,2022-08-04 13:54:03.808,2022-08-04 13:54:03.808,2022-08-04,2022-08-04,Thursday
GlaTvuMNfJPpsVdKCAY2oWSIcLu2,2022-08-04 14:18:28.036,2022-08-04 14:18:28.036,2022-08-04,2022-08-04,Thursday
Lnfdht3f79QrDrWXMGcRI1YoW6l1,2022-08-04 14:27:15.189,2022-08-04 14:27:15.189,2022-08-04,2022-08-04,Thursday
hhEicxoaNQTGE8qO3SK0WWjdTz73,2022-08-06 05:17:13.504,2022-08-06 05:17:13.504,2022-08-06,2022-08-06,Saturday
fVM10rELUUXFnqvKgwVAxkGxs9r1,2022-08-08 17:26:42.919,2022-08-08 17:26:42.919,2022-08-08,2022-08-08,Monday
1mzISw5q8eZozFsqZDfWG7XFvPd2,2022-08-08 17:26:49.150,2022-08-08 17:26:49.150,2022-08-08,2022-08-08,Monday
pwIUHB22Rse4hsAY0mQwdH3vgr13,2022-08-08 17:47:21.426,2022-08-08 17:47:21.426,2022-08-08,2022-08-08,Monday
KCZrOI4DZmeRzacBCQymizEYRix2,2022-08-08 19:59:07.512,2022-08-08 19:59:07.512,2022-08-08,2022-08-08,Monday
wWRciQrViNMvfYnue3xKJVJHq6t1,2022-08-10 00:11:24.335,2022-08-10 00:11:24.335,2022-08-10,2022-08-10,Wednesday
gYxk8M4TUZRPEPV0F0oiEIUnyD43,2022-08-10 17:16:38.957,2022-08-10 17:16:38.957,2022-08-10,2022-08-10,Wednesday
ICmeLIdbe3dI3PjUUBrkSX7H8iD3,2022-08-10 23:03:04.902,2022-08-10 23:03:04.902,2022-08-10,2022-08-10,Wednesday
lhVvLHMgXugOHrNiN3OHSEjOlQo2,2022-08-11 00:15:45.234,2022-08-11 00:15:45.234,2022-08-11,2022-08-11,Thursday
HU2gbelgL1ZSO0YV6w2eW9Q0DrK2,2022-08-11 00:16:10.830,2022-08-11 00:16:10.830,2022-08-11,2022-08-11,Thursday
S9xMe5T3P3QwGoqlgvIJPWaSCp73,2022-08-11 03:02:45.636,2022-08-11 03:02:45.636,2022-08-11,2022-08-11,Thursday
oKPlUCzRaaR8Kwetp9oWjZQa59A2,2022-08-11 03:03:48.025,2022-08-11 03:03:48.025,2022-08-11,2022-08-11,Thursday
DI1yt3TQVgddtDezJxrKAMkglVt2,2022-08-11 03:05:29.553,2022-08-11 03:05:29.553,2022-08-11,2022-08-11,Thursday
hTheGQYgz9c80kRW78si779cdM53,2022-08-11 03:06:08.755,2022-08-11 03:06:08.755,2022-08-11,2022-08-11,Thursday
QflT2X6fEgPAccJZp8nWheUXkEs2,2022-08-11 03:10:25.363,2022-08-11 03:10:25.363,2022-08-11,2022-08-11,Thursday
99keVE72s1cneIa9TGYHfgfeBvt1,2022-08-11 03:13:14.179,2022-08-11 03:13:14.179,2022-08-11,2022-08-11,Thursday
hESGMNtVSTUpVJkWbIcSRst5NQj2,2022-08-11 03:13:26.158,2022-08-11 03:13:26.158,2022-08-11,2022-08-11,Thursday
ejEeeYyHSHRywMkWtva9UEPAQ3v2,2022-08-11 03:16:32.453,2022-08-11 03:16:32.453,2022-08-11,2022-08-11,Thursday
HPik0N1gcFOc933qvxHmUBpxb1g2,2022-08-11 18:32:33.296,2022-08-11 18:32:33.296,2022-08-11,2022-08-11,Thursday
AO6QCwPIN2bAEmY40mxVYh4Sjih1,2022-08-12 01:29:28.344,2022-08-12 01:29:28.344,2022-08-12,2022-08-12,Friday
lfduIAq0jKQIUyv7iLoNtTlSB093,2022-08-12 01:50:38.398,2022-08-12 01:50:38.398,2022-08-12,2022-08-12,Friday
jNpL6ELx2QbvLe2ueqypSxIpQda2,2022-08-12 01:51:40.899,2022-08-12 01:51:40.899,2022-08-12,2022-08-12,Friday
YLMcL4et2wdbgm9ckXe4hewFcVs1,2022-08-12 01:52:36.646,2022-08-12 01:52:36.646,2022-08-12,2022-08-12,Friday
Fh7gXDkIM2VmKMTcytclZoZWWOm2,2022-08-12 01:53:52.688,2022-08-12 01:53:52.688,2022-08-12,2022-08-12,Friday
ZAUBJfGYFAhMXgJTlUjj0qHmjlw2,2022-08-12 02:04:55.135,2022-08-12 02:04:55.135,2022-08-12,2022-08-12,Friday
T3tXthxUhoS7fRqKsYbHPvTiQ9i2,2022-08-12 02:06:15.848,2022-08-12 02:06:15.848,2022-08-12,2022-08-12,Friday
fl15cxTrbnMlfxBwCigLwPp2IVg1,2022-08-12 02:10:58.851,2022-08-12 02:10:58.851,2022-08-12,2022-08-12,Friday
XgV327SsWCeQcfDbyiXxOQFdpCk2,2022-08-12 02:28:52.160,2022-08-12 02:28:52.160,2022-08-12,2022-08-12,Friday
LhqOUBqfKIf1Q7hBPxC3grVahDc2,2022-08-12 02:38:07.603,2022-08-12 02:38:07.603,2022-08-12,2022-08-12,Friday
OOWVCchw2CRpzJwuSv0gwNnwMMn1,2022-08-12 02:38:46.691,2022-08-12 02:38:46.691,2022-08-12,2022-08-12,Friday
